Height,age,gend,wt,
71,24,M,165,
68,29,M,165,
72,34,M,180,
67,21,F,113,
72,32,M,178,
62,25,F,101,
70,26,M,150,
69,34,M,172,
72,31,M,185,
63,49,F,149,
69,30,M,132,
69,34,M,140,
61,28,F,115,
71,30,M,140,
72,26,M,205,
69,30,M,140,
61,30,F,150,
63,34,M,138,
66,32,M,155,
74,24,M,240,
71,30,M,229,
66,26,M,143.3,
62,26,F,105.2,
71,27,M,210,
70.5,23,M,170,
67,26,M,165,
72,40,M,190,
63,27,F,102,
69,31,F,142,
67,26,F,130,
68,34,M,135,
65,23,F,132,
68,27,M,138,
71,27,M,176,
64,37,F,176,
70,24,M,220,
74,27,M,190,
78,25,M,171,
64,25,F,100,
70.8,27,M,220.5,
70.8,23,M,210,
62,26,F,119,
70,26,M,154,
67,27,M,200,
61,28,F,132,
60,25,F,154,
64,27,M,140,
63,25,M,130,
67,25,M,130,
65,30,M,148,
69,29,F,162,
66,30,M,132,
73.15,25,M,189.5,
67.2,25,M,143.3,
70,25,M,154.3,
66.5,30,M,154.3,
66,27,M,165,
65,30,M,145,
66,24,M,169,
69,26,M,178,
66,30,M,185,
67.7,25,M,127,
61,28,F,143,
62.99,33,M,125,
65,23,F,101,
74,25,M,165,
63.6,27,F,126,
63,28,F,105,
62,30,F,106,
68,25,M,160,
70,29,M,145,
67,33,M,140,
70,23,M,130,
67,42,M,154.3,
70,22,M,180,
68,27,M,158,
68.5,25,M,187,
64,28,M,127,
70.8,25,M,125,
75,25,M,220,
65,26,M,158,
68,26,M,165,
67,31,F,162,
67,26,M,127,
68.4,26,M,158.733,
65,25,M,130,
67,32,M,138,
70,32,M,172,
70,25,M,192,
67.2,28,M,159,
67,31,F,190,
71,38,M,210,
65,27,M,143,
67.2,29,M,164,
68,29,F,106,
69,24,M,188,
79,24,M,160,
69,35,M,189,
68.5,25,M,189.5,
65,26,M,125,
64,28,M,132.277,
68,24,M,136,
70,26,M,165,
68,22,M,150,
72,30,M,126,
66.1,34,M,147.7,
69,28,M,152,
69,29,M,180,
64,29,M,149.6,
70,33,M,165,
65,30,M,158,
66,32,M,156,
70.8,38,M,164,
60,27,M,180,
73,27,M,176,
70,26,F,100,
67,33,M,187,
61,30,F,99,
77.1,27,M,191,
67.7,28,M,143,
71,26,M,194,
64,33,F,118,
72,35,M,176,
68,26,M,145,
70,26,M,140,
70,25,M,166,
67,25,M,165,
67,33,M,132,
70,29,M,180,
76,38,M,165,
66,23,M,125,
72,24,M,166,
66,28,M,110,
69,36,F,128,
69,27,M,166,
68,28,M,182,
67,25,M,180,
66,29,M,154,
69,23,M,144,
60,27,F,160,
67,25,M,130,
55,25,M,180,
70,28,M,163,
67,36,F,160,
67,26,M,130,
70,41,M,164,
65,28,m,155,
65,35,F,140,
60,28,M,160,
66,31,M,180,
66,23,F,170,